dish_name,views,likes,comments_count,popularity_score
Pani Puri,80366201,1628092,1268,59.28
Dosa,215114414,3240383,3681,54.36
Masala Dosa,845511325,18916237,76485,54.33
Idli,51736711,1151382,4393,53.45
Aloo Tikki,39186347,1501333,872,52.35
Vada Pav,1432528044,46638898,123493,52.08
Paneer Tikka,756010714,23098288,84109,51.72
Chaat,71799196,3068862,4946,51.49
Thepla,233645746,6035662,109364,50.49
Sev Puri,27826801,482683,8907,50.08
Momos,150981949,4901495,7483,47.54
Pav Bhaji,167971410,6343159,4456,46.62
Farsan,101719552,3996142,6291,40.79
